Imbalance Prices (B1770)
Time Series ID,Business Type,Settlement Date,Settlement Period,Imbalance Price Amount (GBP),Price Category
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,16,5.75,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,15,5.75,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,15,5.75,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,14,5.38,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,14,5.38,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,13,4.69,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,13,4.69,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,12,4,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,12,4,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,11,4,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,11,4,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,10,0.75,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,10,0.75,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,9,0.25,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,9,0.25,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,8,1.04,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,8,1.04,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,7,2.44,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,7,2.44,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,6,4,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,6,4,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,5,20,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,5,20,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,4,4.05022,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,4,4.05022,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,3,9.76,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,3,9.76,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,2,9.46,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,2,9.46,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,1,7.74,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,1,7.74,Insufficient balance
