,dino_bin
2016011038,0
2016011039,0
2016011040,0
2016011041,0
2016011042,0
2016011043,0
2016011044,0
2016011045,0
2016011046,0
2016011047,0
2016011048,0
201601111,0
201601112,1
201601113,0
201601114,1
201601115,0
201601116,0
201601117,0
201601118,0
201601119,1
2016011110,1
2016011111,0
2016011112,1
2016011113,1
2016011114,0
2016011115,0
2016011116,1
2016011117,1
2016011118,0
2016011119,0
2016011120,0
2016011121,1
2016011122,0
2016011123,0
2016011124,0
2016011125,0
2016011126,1
2016011127,0
2016011128,0
2016011129,0
2016011130,0
2016011131,0
2016011132,0
2016011133,1
2016011134,1
2016011135,0
2016011136,0
2016011137,0
2016011138,0
2016011139,0
2016011140,0
2016011141,0
2016011142,0
2016011143,0
2016011144,0
2016011145,0
2016011146,0
2016011147,0
2016011148,0
201601121,1
201601122,1
201601123,1
201601124,0
201601125,0
201601126,0
201601127,0
201601128,0
201601129,0
2016011210,0
2016011211,0
2016011212,0
2016011213,1
2016011214,0
2016011215,1
2016011216,1
2016011217,0
2016011218,0
2016011219,0
2016011220,0
2016011221,0
2016011222,0
2016011223,0
2016011224,0
2016011225,1
2016011226,1
2016011227,1
2016011228,0
2016011229,0
2016011230,0
2016011231,0
2016011232,0
2016011233,0
2016011234,1
2016011235,1
2016011236,0
2016011237,0
2016011238,1
2016011239,0
2016011240,0
2016011241,0
2016011242,0
2016011243,0
2016011244,0
2016011245,0
2016011246,0
2016011247,0
2016011248,1
201601131,1
201601132,1
201601133,0
201601134,0
201601135,1
201601136,1
201601137,0
201601138,0
201601139,0
2016011310,0
2016011311,0
2016011312,0
2016011313,1
2016011314,0
2016011315,0
2016011316,1
2016011317,0
2016011318,0
2016011319,0
2016011320,0
2016011321,0
2016011322,0
2016011323,0
2016011324,0
2016011325,0
2016011326,0
2016011327,0
2016011328,0
2016011329,0
2016011330,0
2016011331,0
2016011332,0
2016011333,1
2016011334,1
2016011335,0
2016011336,0
2016011337,0
2016011338,1
2016011339,1
2016011340,1
2016011341,0
2016011342,0
2016011343,0
2016011344,0
2016011345,0
2016011346,0
2016011347,0
2016011348,1
201601141,1
201601142,1
201601143,1
201601144,0
201601145,0
201601146,0
201601147,0
201601148,0
201601149,1
2016011410,0
2016011411,1
2016011412,1
2016011413,1
2016011414,0
2016011415,0
2016011416,0
2016011417,0
2016011418,0
2016011419,0
2016011420,0
2016011421,0
2016011422,0
2016011423,0
2016011424,0
2016011425,0
2016011426,0
2016011427,1
2016011428,0
2016011429,0
2016011430,0
2016011431,0
2016011432,0
2016011433,0
2016011434,1
2016011435,1
2016011436,1
2016011437,1
2016011438,0
2016011439,0
2016011440,0
2016011441,0
2016011442,0
2016011443,0
2016011444,0
2016011445,0
2016011446,0
2016011447,0
2016011448,0
201601151,1
201601152,0
201601153,0
201601154,0
201601155,0
201601156,0
201601157,0
201601158,0
201601159,0
2016011510,0
2016011511,0
2016011512,0
2016011513,0
2016011514,0
2016011515,0
2016011516,0
2016011517,0
2016011518,0
2016011519,0
2016011520,0
2016011521,0
2016011522,0
2016011523,0
2016011524,0
2016011525,0
2016011526,0
2016011527,0
2016011528,0
2016011529,0
2016011530,0
2016011531,0
2016011532,0
2016011533,0
2016011534,0
2016011535,0
2016011536,1
2016011537,1
2016011538,0
2016011539,1
2016011540,0
2016011541,0
2016011542,1
2016011543,0
2016011544,0
2016011545,0
2016011546,0
2016011547,0
2016011548,0
201601161,1
201601162,0
201601163,0
201601164,0
201601165,0
201601166,1
201601167,0
201601168,0
201601169,0
2016011610,0
2016011611,0
2016011612,1
2016011613,1
2016011614,0
2016011615,0
2016011616,0
2016011617,0
2016011618,1
2016011619,0
2016011620,0
2016011621,1
2016011622,1
2016011623,1
2016011624,1
2016011625,0
2016011626,0
2016011627,0
2016011628,0
2016011629,0
2016011630,0
2016011631,0
2016011632,0
2016011633,1
2016011634,1
2016011635,0
2016011636,0
2016011637,1
2016011638,0
2016011639,0
2016011640,0
2016011641,0
2016011642,0
2016011643,0
2016011644,0
2016011645,0
2016011646,0
2016011647,0
2016011648,0
201601171,0
201601172,0
201601173,0
201601174,0
201601175,1
201601176,0
201601177,0
201601178,0
201601179,0
2016011710,0
2016011711,0
2016011712,0
2016011713,1
2016011714,0
2016011715,1
2016011716,0
2016011717,0
2016011718,0
2016011719,0
2016011720,0
2016011721,0
2016011722,0
2016011723,0
2016011724,1
2016011725,1
2016011726,1
2016011727,0
2016011728,0
2016011729,1
2016011730,1
2016011731,0
2016011732,0
2016011733,0
2016011734,0
2016011735,0
2016011736,0
2016011737,0
2016011738,0
2016011739,0
2016011740,0
2016011741,0
2016011742,0
2016011743,0
2016011744,0
2016011745,0
2016011746,0
2016011747,0
2016011748,0
201601181,0
201601182,0
201601183,0
201601184,0
201601185,1
201601186,1
201601187,1
201601188,0
201601189,1
2016011810,1
2016011811,0
2016011812,1
2016011813,0
2016011814,0
2016011815,0
2016011816,0
2016011817,0
2016011818,0
2016011819,0
2016011820,0
2016011821,0
2016011822,0
2016011823,0
2016011824,0
2016011825,0
2016011826,0
2016011827,0
2016011828,0
2016011829,1
2016011830,0
2016011831,0
2016011832,0
2016011833,1
2016011834,0
2016011835,0
2016011836,0
2016011837,1
2016011838,1
2016011839,1
2016011840,1
2016011841,1
2016011842,0
2016011843,0
2016011844,0
2016011845,0
2016011846,0
2016011847,1
2016011848,1
201601191,1
201601192,0
201601193,0
201601194,0
201601195,0
201601196,0
201601197,0
201601198,0
201601199,0
2016011910,0
2016011911,0
2016011912,0
2016011913,1
2016011914,0
2016011915,0
2016011916,0
2016011917,1
2016011918,0
2016011919,0
2016011920,0
2016011921,0
2016011922,0
2016011923,0
2016011924,0
2016011925,0
2016011926,0
2016011927,0
2016011928,0
2016011929,0
2016011930,0
2016011931,0
2016011932,0
2016011933,1
2016011934,0
2016011935,0
2016011936,0
2016011937,0
2016011938,0
2016011939,1
2016011940,0
2016011941,0
2016011942,0
2016011943,0
2016011944,0
2016011945,0
2016011946,0
2016011947,1
2016011948,1
201601201,0
201601202,0
201601203,0
201601204,0
201601205,0
201601206,0
201601207,0
201601208,0
201601209,0
2016012010,0
2016012011,0
2016012012,0
2016012013,0
2016012014,0
2016012015,0
2016012016,0
2016012017,1
2016012018,0
2016012019,0
2016012020,0
2016012021,0
2016012022,0
2016012023,0
2016012024,0
2016012025,0
2016012026,0
2016012027,0
2016012028,0
2016012029,0
2016012030,0
2016012031,0
2016012032,0
2016012033,0
2016012034,0
2016012035,0
2016012036,0
2016012037,1
2016012038,0
2016012039,0
2016012040,0
2016012041,0
2016012042,0
2016012043,0
2016012044,0
2016012045,1
2016012046,0
2016012047,1
2016012048,0
201601211,0
201601212,0
201601213,0
201601214,0
201601215,0
201601216,0
201601217,0
201601218,0
201601219,0
2016012110,0
2016012111,0
2016012112,0
2016012113,1
2016012114,1
2016012115,0
2016012116,0
2016012117,0
2016012118,0
2016012119,0
2016012120,0
2016012121,0
2016012122,0
2016012123,0
2016012124,0
2016012125,0
2016012126,0
2016012127,0
2016012128,0
2016012129,0
2016012130,0
2016012131,0
2016012132,0
2016012133,0
2016012134,0
2016012135,0
2016012136,0
2016012137,1
2016012138,0
2016012139,0
2016012140,0
2016012141,0
2016012142,0
2016012143,0
2016012144,0
2016012145,0
2016012146,0
2016012147,0
2016012148,0
201601221,1
201601222,1
201601223,1
201601224,0
201601225,1
201601226,1
201601227,0
201601228,0
201601229,0
2016012210,0
2016012211,1
2016012212,0
2016012213,1
2016012214,1
2016012215,1
2016012216,1
2016012217,1
2016012218,1
2016012219,1
2016012220,1
2016012221,1
2016012222,1
2016012223,1
2016012224,1
2016012225,0
2016012226,0
2016012227,0
2016012228,0
2016012229,0
2016012230,0
2016012231,0
2016012232,0
2016012233,0
2016012234,1
2016012235,1
2016012236,1
2016012237,0
2016012238,0
2016012239,0
2016012240,0
2016012241,0
2016012242,1
2016012243,1
2016012244,0
2016012245,1
2016012246,1
2016012247,1
2016012248,0
201601231,0
201601232,0
201601233,0
201601234,0
201601235,0
201601236,0
201601237,0
201601238,0
201601239,1
2016012310,1
2016012311,1
2016012312,1
2016012313,1
2016012314,1
2016012315,0
2016012316,0
2016012317,0
2016012318,0
2016012319,0
2016012320,0
2016012321,0
2016012322,0
2016012323,0
2016012324,0
2016012325,0
2016012326,0
2016012327,0
2016012328,0
2016012329,0
2016012330,0
2016012331,0
2016012332,0
2016012333,0
2016012334,0
2016012335,1
2016012336,0
2016012337,1
2016012338,0
2016012339,0
2016012340,0
2016012341,0
2016012342,0
2016012343,0
2016012344,0
2016012345,0
2016012346,0
2016012347,1
2016012348,0
201601241,0
201601242,1
201601243,1
201601244,0
201601245,0
201601246,0
201601247,0
201601248,0
201601249,0
2016012410,0
2016012411,0
2016012412,0
2016012413,0
2016012414,1
2016012415,1
2016012416,1
2016012417,0
2016012418,0
2016012419,1
2016012420,0
2016012421,0
2016012422,0
2016012423,0
2016012424,0
2016012425,0
2016012426,0
2016012427,1
2016012428,0
2016012429,0
2016012430,0
2016012431,0
2016012432,0
2016012433,0
2016012434,0
2016012435,0
2016012436,0
2016012437,1
2016012438,0
2016012439,0
2016012440,0
2016012441,0
2016012442,0
2016012443,1
2016012444,1
2016012445,1
2016012446,0
2016012447,1
2016012448,0
201601251,0
201601252,0
201601253,0
201601254,0
201601255,1
201601256,0
201601257,0
201601258,0
201601259,0
2016012510,0
2016012511,1
2016012512,1
2016012513,1
2016012514,0
2016012515,0
2016012516,0
2016012517,0
2016012518,0
2016012519,0
2016012520,0
2016012521,0
2016012522,0
2016012523,0
2016012524,0
2016012525,0
2016012526,0
2016012527,0
2016012528,0
2016012529,0
2016012530,0
2016012531,0
2016012532,0
2016012533,0
2016012534,0
2016012535,1
2016012536,0
2016012537,1
2016012538,1
2016012539,0
2016012540,1
2016012541,0
2016012542,1
2016012543,1
2016012544,1
2016012545,1
2016012546,0
2016012547,0
2016012548,1
201601261,0
201601262,0
201601263,0
201601264,1
201601265,1
201601266,0
201601267,0
201601268,0
201601269,0
2016012610,0
2016012611,1
2016012612,1
2016012613,1
2016012614,0
2016012615,0
2016012616,1
2016012617,0
2016012618,1
2016012619,1
2016012620,1
2016012621,0
2016012622,0
2016012623,1
2016012624,1
2016012625,1
2016012626,0
2016012627,0
2016012628,0
2016012629,0
2016012630,0
2016012631,0
2016012632,0
2016012633,0
2016012634,0
2016012635,0
2016012636,1
2016012637,1
2016012638,1
2016012639,0
2016012640,0
2016012641,0
2016012642,0
2016012643,0
2016012644,1
2016012645,1
2016012646,1
2016012647,1
2016012648,0
201601271,0
201601272,0
201601273,0
201601274,0
201601275,0
201601276,1
201601277,0
201601278,0
201601279,0
2016012710,0
2016012711,1
2016012712,1
2016012713,1
2016012714,0
2016012715,0
2016012716,0
2016012717,0
2016012718,0
2016012719,0
2016012720,0
2016012721,0
2016012722,0
2016012723,0
2016012724,0
2016012725,0
2016012726,0
2016012727,0
2016012728,0
2016012729,0
2016012730,0
2016012731,0
2016012732,0
2016012733,0
2016012734,1
2016012735,1
2016012736,1
2016012737,0
2016012738,0
2016012739,1
2016012740,0
2016012741,0
2016012742,0
2016012743,0
2016012744,0
2016012745,0
2016012746,0
2016012747,0
2016012748,0
201601281,0
201601282,0
201601283,0
201601284,1
201601285,1
201601286,1
201601287,0
201601288,0
201601289,1
2016012810,0
2016012811,1
2016012812,1
2016012813,1
2016012814,1
2016012815,1
2016012816,0
2016012817,0
2016012818,0
2016012819,0
2016012820,0
2016012821,0
2016012822,0
2016012823,0
2016012824,0
2016012825,0
2016012826,0
2016012827,0
2016012828,0
2016012829,0
2016012830,0
2016012831,0
2016012832,0
2016012833,0
2016012834,1
2016012835,1
2016012836,0
2016012837,1
2016012838,0
2016012839,1
2016012840,0
2016012841,0
2016012842,0
2016012843,1
2016012844,0
2016012845,0
2016012846,0
2016012847,0
2016012848,0
201601291,0
201601292,0
201601293,0
201601294,0
201601295,0
201601296,0
201601297,1
201601298,1
201601299,1
2016012910,0
2016012911,1
2016012912,1
2016012913,1
2016012914,1
2016012915,1
2016012916,1
2016012917,1
2016012918,0
2016012919,0
2016012920,0
2016012921,0
2016012922,1
2016012923,0
2016012924,0
2016012925,0
2016012926,0
2016012927,0
2016012928,0
2016012929,0
2016012930,0
2016012931,0
2016012932,0
2016012933,0
2016012934,1
2016012935,1
2016012936,0
2016012937,1
2016012938,0
2016012939,0
2016012940,0
2016012941,0
2016012942,0
2016012943,0
2016012944,0
2016012945,0
2016012946,0
2016012947,1
2016012948,0
201601301,1
201601302,0
201601303,1
201601304,0
201601305,0
201601306,0
201601307,0
201601308,0
201601309,0
2016013010,0
2016013011,0
2016013012,0
2016013013,0
2016013014,0
2016013015,1
2016013016,0
2016013017,0
2016013018,0
2016013019,0
2016013020,0
2016013021,0
2016013022,0
2016013023,0
2016013024,0
2016013025,0
2016013026,0
2016013027,0
2016013028,0
2016013029,0
2016013030,0
2016013031,0
2016013032,0
2016013033,0
2016013034,1
2016013035,1
2016013036,1
2016013037,1
2016013038,0
2016013039,0
2016013040,0
2016013041,0
2016013042,1
2016013043,0
2016013044,0
2016013045,0
2016013046,0
2016013047,0
2016013048,0
201601311,0
201601312,0
201601313,1
201601314,0
201601315,0
201601316,0
201601317,0
201601318,0
201601319,1
2016013110,1
2016013111,1
2016013112,1
2016013113,1
2016013114,1
2016013115,1
2016013116,1
2016013117,0
2016013118,0
2016013119,0
2016013120,0
2016013121,0
2016013122,0
2016013123,0
2016013124,0
2016013125,0
2016013126,0
2016013127,0
2016013128,0
2016013129,0
2016013130,0
2016013131,0
2016013132,0
2016013133,0
2016013134,1
2016013135,0
2016013136,0
2016013137,0
2016013138,0
2016013139,1
2016013140,0
2016013141,0
2016013142,0
2016013143,0
2016013144,0
2016013145,0
2016013146,0
2016013147,0
2016013148,0
201602011,0
201602012,0
201602013,0
201602014,0
201602015,0
201602016,0
201602017,0
201602018,0
201602019,0
2016020110,0
2016020111,0
2016020112,0
2016020113,1
2016020114,1
2016020115,1
2016020116,0
2016020117,0
2016020118,0
2016020119,1
2016020120,1
2016020121,0
2016020122,0
2016020123,0
2016020124,0
2016020125,1
2016020126,0
2016020127,0
2016020128,0
2016020129,0
2016020130,0
2016020131,0
2016020132,0
2016020133,0
2016020134,1
2016020135,1
2016020136,1
2016020137,0
2016020138,0
2016020139,0
2016020140,0
2016020141,0
2016020142,0
2016020143,0
2016020144,1
2016020145,1
2016020146,0
2016020147,0
2016020148,0
201602021,1
201602022,1
201602023,1
201602024,1
201602025,1
201602026,0
201602027,0
201602028,0
201602029,0
2016020210,0
2016020211,0
2016020212,0
2016020213,0
2016020214,0
2016020215,0
2016020216,0
2016020217,0
2016020218,0
2016020219,1
2016020220,0
2016020221,0
2016020222,0
2016020223,0
2016020224,0
2016020225,0
2016020226,0
2016020227,0
2016020228,0
2016020229,0
2016020230,0
2016020231,0
2016020232,0
2016020233,0
2016020234,0
2016020235,1
2016020236,0
2016020237,0
2016020238,1
2016020239,0
2016020240,0
2016020241,1
2016020242,1
2016020243,1
2016020244,0
2016020245,0
2016020246,0
2016020247,1
2016020248,0
201602031,0
201602032,0
201602033,0
201602034,0
201602035,1
201602036,1
201602037,0
201602038,0
201602039,0
2016020310,1
2016020311,0
2016020312,0
2016020313,1
2016020314,0
2016020315,0
2016020316,0
2016020317,0
2016020318,0
2016020319,0
2016020320,0
2016020321,0
2016020322,0
2016020323,0
2016020324,0
2016020325,0
2016020326,0
2016020327,0
2016020328,0
2016020329,0
2016020330,0
2016020331,0
2016020332,0
2016020333,0
2016020334,0
2016020335,0
2016020336,0
2016020337,0
2016020338,0
2016020339,0
2016020340,0
2016020341,0
2016020342,0
2016020343,0
2016020344,0
2016020345,0
2016020346,0
2016020347,1
2016020348,0
201602041,0
201602042,0
201602043,0
201602044,0
201602045,0
201602046,0
201602047,0
201602048,0
201602049,0
2016020410,0
2016020411,0
2016020412,0
2016020413,1
2016020414,0
2016020415,0
2016020416,0
2016020417,0
2016020418,0
2016020419,0
2016020420,0
2016020421,0
2016020422,0
2016020423,0
2016020424,0
2016020425,0
2016020426,0
2016020427,0
2016020428,0
2016020429,0
2016020430,0
2016020431,0
2016020432,1
2016020433,0
2016020434,1
2016020435,0
2016020436,0
2016020437,1
2016020438,0
2016020439,0
2016020440,0
2016020441,0
2016020442,0
2016020443,0
2016020444,0
2016020445,0
2016020446,0
2016020447,0
2016020448,1
201602051,0
201602052,1
201602053,0
201602054,0
201602055,0
201602056,0
201602057,0
201602058,0
201602059,1
2016020510,0
2016020511,1
2016020512,1
2016020513,0
2016020514,0
2016020515,0
2016020516,0
2016020517,0
2016020518,0
2016020519,0
2016020520,0
2016020521,0
2016020522,1
2016020523,0
2016020524,0
2016020525,0
2016020526,1
2016020527,0
2016020528,0
2016020529,0
2016020530,0
2016020531,0
2016020532,0
2016020533,0
2016020534,1
2016020535,1
2016020536,0
2016020537,1
2016020538,1
2016020539,0
2016020540,0
2016020541,0
2016020542,0
2016020543,0
2016020544,0
2016020545,0
2016020546,0
2016020547,0
2016020548,0
201602061,0
201602062,0
201602063,1
201602064,0
201602065,0
201602066,0
201602067,1
201602068,0
201602069,0
2016020610,0
2016020611,0
2016020612,1
2016020613,1
2016020614,1
2016020615,1
2016020616,1
2016020617,1
2016020618,0
2016020619,0
2016020620,0
2016020621,0
2016020622,0
2016020623,0
2016020624,0
2016020625,0
2016020626,0
2016020627,0
2016020628,0
2016020629,0
2016020630,0
2016020631,0
2016020632,0
2016020633,0
2016020634,0
2016020635,0
2016020636,0
2016020637,0
2016020638,0
2016020639,0
2016020640,0
2016020641,0
2016020642,0
2016020643,0
2016020644,0
2016020645,0
2016020646,0
2016020647,0
2016020648,0
201602071,0
201602072,0
201602073,0
201602074,1
201602075,0
201602076,0
201602077,0
201602078,0
201602079,0
2016020710,1
2016020711,0
2016020712,0
2016020713,1
2016020714,1
2016020715,1
2016020716,0
2016020717,0
2016020718,0
2016020719,0
2016020720,0
2016020721,0
2016020722,0
2016020723,0
2016020724,0
2016020725,1
2016020726,1
2016020727,0
2016020728,1
2016020729,1
2016020730,1
2016020731,1
2016020732,1
2016020733,1
2016020734,1
2016020735,1
2016020736,1
2016020737,0
2016020738,1
2016020739,1
2016020740,1
2016020741,1
2016020742,0
2016020743,1
2016020744,0
2016020745,0
2016020746,0
2016020747,0
2016020748,1
201602081,0
201602082,1
201602083,0
201602084,0
201602085,0
201602086,0
201602087,0
201602088,0
201602089,0
2016020810,0
2016020811,0
2016020812,0
2016020813,0
2016020814,0
2016020815,0
2016020816,0
2016020817,0
2016020818,0
2016020819,0
2016020820,1
2016020821,0
2016020822,0
2016020823,0
2016020824,0
2016020825,0
2016020826,0
2016020827,0
2016020828,0
2016020829,0
2016020830,0
2016020831,0
2016020832,0
2016020833,0
2016020834,0
2016020835,1
2016020836,1
2016020837,0
2016020838,0
2016020839,1
2016020840,0
2016020841,0
2016020842,0
2016020843,0
2016020844,0
2016020845,0
2016020846,0
2016020847,1
2016020848,0
201602091,0
201602092,0
201602093,1
201602094,0
201602095,0
201602096,0
201602097,0
201602098,0
201602099,0
2016020910,0
2016020911,1
2016020912,1
2016020913,1
2016020914,1
2016020915,1
2016020916,0
2016020917,1
2016020918,0
2016020919,0
2016020920,0
2016020921,0
2016020922,0
2016020923,0
2016020924,0
2016020925,0
2016020926,0
2016020927,0
2016020928,0
2016020929,0
2016020930,0
2016020931,0
2016020932,0
2016020933,0
2016020934,0
2016020935,0
2016020936,0
2016020937,0
2016020938,0
2016020939,0
2016020940,0
2016020941,0
2016020942,0
2016020943,0
2016020944,0
2016020945,0
2016020946,0
2016020947,0
2016020948,0
201602101,1
201602102,0
201602103,0
201602104,0
201602105,0
201602106,0
201602107,0
201602108,0
201602109,0
2016021010,1
2016021011,1
2016021012,0
2016021013,0
2016021014,0
2016021015,0
2016021016,0
2016021017,0
2016021018,0
2016021019,1
2016021020,1
2016021021,0
2016021022,0
2016021023,0
2016021024,0
2016021025,0
2016021026,0
2016021027,0
2016021028,0
2016021029,0
2016021030,0
2016021031,0
2016021032,0
2016021033,0
2016021034,0
2016021035,1
2016021036,1
2016021037,0
2016021038,0
2016021039,0
2016021040,0
2016021041,1
2016021042,0
2016021043,0
2016021044,0
2016021045,0
2016021046,0
2016021047,1
2016021048,0
201602111,1
201602112,1
201602113,0
201602114,0
201602115,0
201602116,0
201602117,0
201602118,0
201602119,0
2016021110,0
2016021111,0
2016021112,1
2016021113,0
2016021114,1
2016021115,0
2016021116,0
2016021117,0
2016021118,0
2016021119,0
2016021120,0
2016021121,0
2016021122,0
2016021123,0
2016021124,0
2016021125,0
2016021126,0
2016021127,0
2016021128,0
2016021129,0
2016021130,0
2016021131,0
2016021132,0
2016021133,0
2016021134,0
2016021135,0
2016021136,0
2016021137,0
2016021138,1
2016021139,0
2016021140,0
2016021141,0
2016021142,0
2016021143,0
2016021144,0
2016021145,0
2016021146,0
2016021147,1
2016021148,0
201602121,0
201602122,0
201602123,0
201602124,0
201602125,0
201602126,0
201602127,0
201602128,0
201602129,0
2016021210,0
2016021211,0
2016021212,1
2016021213,0
2016021214,0
2016021215,0
2016021216,0
2016021217,0
2016021218,0
2016021219,0
2016021220,0
2016021221,0
2016021222,0
2016021223,0
2016021224,0
2016021225,0
2016021226,0
2016021227,0
2016021228,0
2016021229,0
2016021230,0
2016021231,0
2016021232,0
2016021233,0
2016021234,0
2016021235,0
2016021236,0
2016021237,0
