,Offers
2016010819,120.0
2016010820,65.0
2016010821,51.95
2016010822,51.95
2016010823,51.95
2016010824,51.95
2016010825,51.95
2016010826,51.95
2016010827,51.95
2016010828,139.0
2016010829,51.95
2016010830,90.0
2016010831,90.0
2016010832,140.0
2016010833,140.0
2016010834,140.0
2016010835,139.0
2016010836,140.0
2016010837,160.0
2016010838,140.0
2016010839,160.0
2016010840,160.0
2016010841,139.0
2016010842,140.0
2016010843,140.0
2016010844,139.0
2016010845,139.0
2016010846,140.0
2016010847,80.0
2016010848,90.0
2016010901,120.0
2016010902,80.0
2016010903,160.0
2016010904,160.0
2016010905,160.0
2016010906,80.0
2016010907,80.0
2016010908,80.0
2016010909,80.0
2016010910,80.0
2016010911,80.0
2016010912,140.0
2016010913,80.0
2016010914,80.0
2016010915,90.0
2016010916,
2016010917,
2016010918,
2016010919,
2016010920,160.0
2016010921,139.0
2016010922,65.0
2016010923,56.48
2016010924,56.48
2016010925,140.0
2016010926,140.0
2016010927,140.0
2016010928,139.0
2016010929,140.0
2016010930,140.0
2016010931,52.0
2016010932,140.0
2016010933,140.0
2016010934,138.0
2016010935,99.0
2016010936,90.0
2016010937,74.95
2016010938,140.0
2016010939,140.0
2016010940,140.0
2016010941,74.95
2016010942,139.0
2016010943,90.0
2016010944,79.0
2016010945,79.0
2016010946,85.0
2016010947,120.0
2016010948,79.0
2016011001,79.0
2016011002,79.0
2016011003,130.0
2016011004,160.0
2016011005,160.0
2016011006,79.0
2016011007,79.0
2016011008,79.0
2016011009,79.0
2016011010,79.0
2016011011,79.0
2016011012,79.0
2016011013,96.86
2016011014,140.0
2016011015,79.0
2016011016,79.0
2016011017,79.0
2016011018,79.0
2016011019,139.0
2016011020,90.0
2016011021,75.0
2016011022,85.0
2016011023,140.0
2016011024,56.48
2016011025,
2016011026,
2016011027,52.0
2016011028,140.0
2016011029,140.0
2016011030,140.0
2016011031,140.0
2016011032,140.0
2016011033,140.0
2016011034,185.0
2016011035,185.0
2016011036,185.0
2016011037,185.0
2016011038,169.0
2016011039,169.0
2016011040,139.0
2016011041,125.0
2016011042,140.0
2016011043,140.0
2016011044,79.0
2016011045,139.0
2016011046,90.0
2016011047,120.0
2016011048,79.0
2016011101,120.0
2016011102,160.0
2016011103,79.0
2016011104,160.0
2016011105,79.0
2016011106,79.0
2016011107,75.0
2016011108,75.0
2016011109,160.0
2016011110,160.0
2016011111,79.0
2016011112,160.0
2016011113,140.0
2016011114,119.0
2016011115,139.0
2016011116,155.0
2016011117,155.0
2016011118,139.0
2016011119,139.0
2016011120,139.0
2016011121,155.0
2016011122,140.0
2016011123,140.0
2016011124,49.95
2016011125,140.0
2016011126,170.0
2016011127,66.74
2016011128,140.0
2016011129,140.0
2016011130,59.95
2016011131,59.95
2016011132,140.0
2016011133,160.0
2016011134,170.0
2016011135,
2016011136,45.0
2016011137,59.95
2016011138,140.0
2016011139,140.0
2016011140,140.0
2016011141,139.0
2016011142,140.0
2016011143,140.0
2016011144,140.0
2016011145,140.0
2016011146,140.0
2016011147,52.0
2016011148,52.0
2016011201,160.0
2016011202,160.0
2016011203,140.0
2016011204,52.0
2016011205,52.0
2016011206,52.0
2016011207,52.0
2016011208,52.0
2016011209,52.0
2016011210,52.0
2016011211,52.0
2016011212,52.0
2016011213,140.0
2016011214,140.0
2016011215,155.0
2016011216,155.0
2016011217,139.0
2016011218,90.0
2016011219,47.23
2016011220,139.0
2016011221,140.0
2016011222,139.0
2016011223,139.0
2016011224,140.0
2016011225,160.0
2016011226,160.0
2016011227,160.0
2016011228,140.0
2016011229,140.0
2016011230,59.95
2016011231,59.95
2016011232,59.95
2016011233,140.0
2016011234,160.0
2016011235,160.0
2016011236,59.95
2016011237,160.0
2016011238,170.0
2016011239,59.95
2016011240,59.95
2016011241,59.75
2016011242,139.0
2016011243,139.0
2016011244,140.0
2016011245,140.0
2016011246,138.0
2016011247,138.0
2016011248,160.0
2016011301,160.0
2016011302,160.0
2016011303,52.0
2016011304,52.0
2016011305,140.0
2016011306,140.0
2016011307,52.0
2016011308,52.0
2016011309,52.0
2016011310,140.0
2016011311,52.0
2016011312,52.0
2016011313,250.0
2016011314,140.0
2016011315,140.0
2016011316,325.0
2016011317,135.0
2016011318,45.49
2016011319,140.0
