,Bids
2016010742,24.0
2016010743,15.0
2016010744,10.0
2016010745,10.0
2016010746,17.8
2016010747,17.8
2016010748,20.1
2016010801,5.0
2016010802,27.0
2016010803,32.94
2016010804,35.0
2016010805,
2016010806,26.8
2016010807,26.8
2016010808,27.0
2016010809,24.02
2016010810,24.02
2016010811,40.0
2016010812,35.0
2016010813,36.0
2016010814,21.0
2016010815,21.0
2016010816,41.0
2016010817,26.05
2016010818,0.0
2016010819,27.6
2016010820,27.6
2016010821,25.5
2016010822,25.5
2016010823,25.5
2016010824,25.5
2016010825,25.5
2016010826,25.5
2016010827,24.0
2016010828,24.0
2016010829,24.0
2016010830,24.0
2016010831,25.5
2016010832,0.0
2016010833,-35.0
2016010834,26.1
2016010835,0.0
2016010836,0.0
2016010837,26.1
2016010838,15.0
2016010839,26.1
2016010840,0.0
2016010841,26.1
2016010842,26.1
2016010843,14.5
2016010844,26.1
2016010845,0.0
2016010846,15.0
2016010847,-11.0
2016010848,15.0
2016010901,0.0
2016010902,0.0
2016010903,27.0
2016010904,5.0
2016010905,0.0
2016010906,26.1
2016010907,13.0
2016010908,13.0
2016010909,13.0
2016010910,13.0
2016010911,25.15
2016010912,0.0
2016010913,0.0
2016010914,-150.0
2016010915,15.0
2016010916,25.15
2016010917,25.15
2016010918,25.15
2016010919,25.15
2016010920,25.15
2016010921,25.15
2016010922,25.15
2016010923,25.15
2016010924,25.15
2016010925,25.15
2016010926,25.15
2016010927,25.15
2016010928,25.15
2016010929,25.15
2016010930,25.15
2016010931,25.15
2016010932,25.15
2016010933,25.15
2016010934,25.0
2016010935,25.0
2016010936,0.0
2016010937,0.0
2016010938,24.6
2016010939,0.0
2016010940,25.15
2016010941,0.0
2016010942,0.0
2016010943,5.0
2016010944,23.0
2016010945,2.0
2016010946,0.0
2016010947,10.0
2016010948,0.0
2016011001,0.0
2016011002,0.0
2016011003,0.0
2016011004,-39.95
2016011005,-39.95
2016011006,-40.0
2016011007,-40.0
2016011008,-40.0
2016011009,-40.0
2016011010,-40.0
2016011011,-40.0
2016011012,-40.0
2016011013,-40.0
2016011014,-150.0
2016011015,-150.0
