,rmse_general,mae_general,rmse_spike,mae_spike,rmse_normal,mae_normal
State,33.10968901447572,19.213886118250954,27.71437573578751,15.23655152191987,33.8323278815618,19.80018643723203
Ignore,170644.3384061755,163205.53159004793,164421.86607542494,158256.03077924575,171542.50788227463,163935.1392792897
Ignore,170644.3384061755,163205.53159004793,164421.86607542494,158256.03077924575,171542.50788227463,163935.1392792897
Stateless,31.05776276123585,18.93336064979553,29.510607820316576,18.773386877936286,31.279358273338318,18.956942440866417
