,index,time_peak,peak(MW),total_cap(MW)
927,20180716,0000,2673,12051
928,20180717,0600,1618,12051
929,20180718,0000,1124,12051
930,20180719,2200,1993,12051
931,20180720,1600,1866,12051
932,20180721,2300,1089,12051
933,20180722,1600,1910,12051
934,20180723,2300,2380,12051
935,20180724,0000,2161,12051
936,20180725,1900,1854,12051
937,20180726,1700,3740,12051
938,20180727,1500,3056,12051
939,20180728,2100,9895,12051
940,20180729,0000,9489,12051
941,20180730,1000,7057,12051
942,20180731,1600,6847,12051
943,20180801,2200,5769,12051
944,20180802,0000,5375,12051
945,20180803,0100,2259,12051
946,20180804,1800,2955,12051
947,20180805,2300,2876,12051
948,20180806,0300,4011,12051
949,20180807,2300,2204,12051
950,20180808,0500,3191,12051
951,20180809,1600,2992,12051
952,20180810,1600,4357,12051
953,20180811,2300,4769,12051
954,20180812,0700,4977,12051
955,20180813,1600,2788,12051
956,20180814,1700,3917,12051
957,20180815,1900,7423,12051
958,20180816,1300,6659,12051
959,20180817,2300,7540,12051
960,20180818,0500,8053,12051
961,20180819,1300,5709,12051
962,20180820,0000,1590,12051
963,20180821,2300,5466,12051
964,20180822,0200,5949,12051
965,20180823,2300,7822,12051
966,20180824,0500,8254,12051
967,20180825,0200,7296,12051
968,20180826,1400,8806,12051
969,20180827,0400,7963,12051
970,20180828,1400,3555,12051
971,20180829,1600,4273,12051
972,20180830,0000,2238,12051
973,20180831,2300,2761,12051
974,20180901,0200,3266,12051
975,20180902,1600,3941,12051
976,20180903,1100,2587,12051
977,20180904,1900,2751,12051
978,20180905,1600,3127,12051
979,20180906,2300,4322,12051
980,20180907,1400,7176,12051
981,20180908,1200,4400,12051
982,20180909,1400,7782,12051
983,20180910,2300,8275,12051
984,20180911,0200,9097,12051
985,20180912,0000,6964,12051
986,20180913,1300,6309,12051
987,20180914,1600,6860,12051
988,20180915,2300,5690,12051
989,20180916,0800,9376,12051
990,20180917,2300,8549,12051
991,20180918,1800,9232,12051
992,20180919,2100,10379,12051
993,20180920,0000,9812,12051
994,20180921,1600,10106,12051
995,20180922,0000,9492,12051
996,20180923,2100,7782,12051
997,20180924,0000,6613,12051
998,20180925,2300,7998,12051
999,20180926,0500,8381,12051
1000,20180927,1200,6230,12051
1001,20180928,0000,5040,12051
1002,20180929,1600,5856,12051
1003,20180930,2200,8453,12051
1004,20181001,0000,8335,12051
1005,20181002,0400,10110,12051
1006,20181003,0000,6000,12051
1007,20181004,1400,6419,12051
1008,20181005,0000,2859,12051
1009,20181006,1600,5775,12051
1010,20181007,2300,7821,12051
1011,20181008,2200,8436,12051
1012,20181009,0600,8174,12051
1013,20181010,2000,7923,12051
1014,20181011,1600,9020,12051
1015,20181012,1500,10796,12051
1016,20181013,0000,8991,12051
1017,20181014,0000,6128,12051
1018,20181015,0800,2474,12051
1019,20181016,1600,6355,12051
1020,20181017,0000,4395,12051
1021,20181018,0500,2511,12051
1022,20181019,1100,3849,12051
1023,20181020,1600,4324,12051
1024,20181021,2300,7863,12051
1025,20181022,2300,8555,12051
1026,20181023,1400,10436,12051
1027,20181024,0000,9734,12051
1028,20181025,0000,6839,12051
1029,20181026,2000,9391,12051
1030,20181027,0300,9407,12051
1031,20181028,0000,6785,12051
1032,20181029,1800,4659,12051
1033,20181030,0800,5129,12051
1034,20181031,1600,5764,12051
1035,20181101,2200,5360,12051
1036,20181102,2300,7113,12051
1037,20181103,2000,10139,12051
1038,20181104,0000,9690,12051
1039,20181105,2300,4225,12051
1040,20181106,2100,10284,12051
1041,20181107,1200,10149,12051
1042,20181108,2300,9622,12051
1043,20181109,2200,11146,12051
1044,20181110,0000,10537,12051
1045,20181111,2300,7359,12051
1046,20181112,1900,7856,12051
1047,20181113,0800,8621,12051
1048,20181114,1100,10175,12051
1049,20181115,0000,7347,12051
1050,20181116,2000,3993,12051
1051,20181117,2100,8703,12051
1052,20181118,0000,7379,12051
1053,20181119,2200,8826,12051
1054,20181120,1500,9744,12051
1055,20181121,0500,9439,12051
1056,20181122,0000,3976,12051
1057,20181123,2100,3254,12051
1058,20181124,0600,3597,12051
1059,20181125,1900,5840,12051
1060,20181126,0000,5122,12051
1061,20181127,1700,10716,12051
1062,20181128,2000,11569,12051
1063,20181129,2000,11227,12051
1064,20181130,0300,11422,12051
1065,20181201,0000,7792,12051
1066,20181202,2000,7979,12051
1067,20181203,0300,7848,12051
1068,20181204,0000,2938,12051
1069,20181205,1000,6809,12051
1070,20181206,1200,9377,12051
1071,20181207,1800,11684,12051
1072,20181208,0800,11681,12051
1073,20181209,0600,8656,12051
1074,20181210,0200,6583,12051
1075,20181211,2300,4972,12051
1076,20181212,2300,10677,12051
1077,20181213,0800,11066,12051
1078,20181214,2300,8184,12051
1079,20181215,1000,10768,12051
1080,20181216,0100,10178,12051
1081,20181217,2300,10309,12051
1082,20181218,1100,11452,12051
1083,20181219,1700,7362,12051
1084,20181220,1800,7617,12051
1085,20181221,1600,5922,12051
1086,20181222,1200,7648,12051
1087,20181223,0000,4231,12051
1088,20181224,0000,1686,12051
1089,20181225,2300,3548,12051
1090,20181226,0900,3705,12051
1091,20181227,0000,3071,12051
1092,20181228,2300,4212,12051
1093,20181229,0900,10874,12051
1094,20181230,1200,6198,12051
1095,20181231,2300,9441,12051
