,index,time_peak,peak(MW),total_cap(MW)
213,20160801,2200,1364,5271
214,20160802,2300,3808,14241
215,20160803,2000,5150,20463
216,20160804,2000,2607,8793
217,20160805,2300,1345,5011
218,20160806,2300,6162,23074
219,20160807,2300,6697,26435
220,20160808,2300,4252,16719
221,20160809,2000,2368,9291
222,20160810,2300,3159,11624
223,20160811,2300,5342,21105
224,20160812,2300,5791,22667
225,20160813,2000,1788,6340
226,20160814,2000,230,824
227,20160815,2300,1456,5480
228,20160816,2300,2528,9598
229,20160817,2300,1580,6105
230,20160818,2300,2607,9297
231,20160819,2300,5069,19514
232,20160820,2000,5071,20138
233,20160821,2300,2333,7568
234,20160822,2000,1514,4038
235,20160823,2100,2346,9043
236,20160824,2300,698,2341
237,20160825,2300,562,2014
238,20160826,2000,1524,5165
239,20160827,2100,2178,7902
240,20160828,2000,1448,4989
241,20160829,2300,2367,8706
242,20160830,2300,4292,16034
243,20160831,2300,2683,10582
244,20160901,2200,4154,16542
245,20160902,2000,2620,10110
246,20160903,2300,3984,15693
247,20160904,2000,1353,4624
248,20160905,2300,2504,8751
249,20160906,2300,1188,4640
250,20160907,2300,3528,12802
251,20160908,2000,3806,14065
252,20160909,2000,6524,24773
253,20160910,2300,3751,13677
254,20160911,2300,5013,19754
255,20160912,1000,5186,8972
256,20160913,0000,3511,8972
257,20160914,0800,1904,8972
258,20160915,2300,1127,8972
259,20160916,1900,5077,8972
260,20160917,0000,4404,8972
261,20160918,1300,2017,8972
262,20160919,0400,1504,8972
263,20160920,2300,816,8972
264,20160921,1500,3497,8972
265,20160922,2200,3653,8972
266,20160923,2300,5419,8972
267,20160924,2000,6910,8972
268,20160925,0000,6364,8972
269,20160926,0000,3321,8972
270,20160927,1300,6804,8972
271,20160928,2300,7169,8972
272,20160929,0000,7246,8972
273,20160930,0000,4827,8972
274,20161001,2300,1214,8972
275,20161002,0700,2507,8972
276,20161003,2300,4731,8972
277,20161004,2300,6309,8972
278,20161005,1300,7273,8972
279,20161006,0000,5911,8972
280,20161007,0000,4011,8972
281,20161008,1200,1448,8972
282,20161009,0000,1315,8972
283,20161010,2200,2227,8972
284,20161011,2000,3715,8972
285,20161012,2000,4144,8972
286,20161013,1800,5357,8972
287,20161014,1000,4434,8972
288,20161015,2100,3723,8972
289,20161016,1400,6519,8972
290,20161017,0100,5213,8972
291,20161018,2000,5907,8972
292,20161019,0000,5628,8972
293,20161020,1000,2329,8972
294,20161021,0000,2062,8972
295,20161022,2200,1954,8972
296,20161023,1900,3527,8972
297,20161024,0000,2442,8972
298,20161025,2300,2201,8972
299,20161026,1500,4625,8972
300,20161027,2200,6363,8972
301,20161028,0000,6167,8972
302,20161029,1300,790,8972
303,20161030,0000,739,8972
304,20161031,2300,1177,8972
305,20161101,2000,3912,8972
306,20161102,0400,4755,8972
307,20161103,1900,4371,8972
308,20161104,0000,3811,8972
309,20161105,2000,7186,8972
310,20161106,0400,6446,8972
311,20161107,0000,4034,8972
312,20161108,2100,3714,8972
313,20161109,0300,3715,8972
314,20161110,2100,3300,8972
315,20161111,2300,6263,8972
316,20161112,0100,6606,8972
317,20161113,1900,2898,8972
318,20161114,2300,5114,8972
319,20161115,0300,5524,8972
320,20161116,1200,7461,8972
321,20161117,0100,6436,8972
322,20161118,0700,4824,8972
323,20161119,0300,3691,8972
324,20161120,0800,3840,8972
325,20161121,2300,7158,8972
326,20161122,0300,7578,8972
327,20161123,2100,2905,8972
328,20161124,0300,3055,8972
329,20161125,0000,2839,8972
330,20161126,0000,1372,8972
331,20161127,0700,2419,8972
332,20161128,2300,2058,8972
333,20161129,0000,2090,8972
334,20161130,1900,4488,8972
335,20161201,0500,4345,8972
336,20161202,0000,1537,8972
337,20161203,2300,1689,8972
338,20161204,1700,3142,8972
339,20161205,0000,1834,8972
340,20161206,2300,5344,8972
341,20161207,1800,7348,8972
342,20161208,0000,6386,8972
343,20161209,1100,6168,8972
344,20161210,0000,5792,8972
345,20161211,0400,5536,8972
346,20161212,1200,2165,8972
347,20161213,2300,3866,8972
348,20161214,0700,4803,8972
349,20161215,1000,3754,8972
350,20161216,0000,2490,8972
351,20161217,2300,2652,8972
352,20161218,0300,2698,8972
353,20161219,0000,1721,8972
354,20161220,2100,6790,8972
355,20161221,0900,7639,8972
356,20161222,1800,6415,8972
357,20161223,2100,7744,8972
358,20161224,1600,7828,8972
359,20161225,1900,8061,8972
360,20161226,1700,7779,8972
361,20161227,0000,5831,8972
362,20161228,2300,3329,8972
363,20161229,2300,4989,8972
364,20161230,2000,5008,8972
