,optimizers,rmse_general,mae_general,rmse_spike,mae_spike,rmse_normal,mae_normal
0,<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x0000021AFA917D48>,32.536260598740796,20.998040773124696,29.36242171699878,20.62888231725501,32.98170266425313,21.05288086278031
1,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x0000021AFA917F08>,33.268095508780654,23.631727944795824,30.42916743505498,23.274970783003226,33.669415630829576,23.684725768432006
2,<tensorflow.python.keras.optimizer_v2.nadam.Nadam object at 0x0000021AFA917EC8>,33.54570338952001,23.89395201635149,30.89753196432898,23.795983006010122,33.92146833394425,23.90850573772822
3,<tensorflow.python.keras.optimizer_v2.adamax.Adamax object at 0x0000021AFA917F48>,33.50823790559795,20.099735456358594,27.877429473062612,16.356399597577603,34.26587154583627,20.655824232987072
