,all_param,Predicitons
0,"{'bias_initializer': <tensorflow.python.ops.init_ops_v2.Zeros object at 0x0000027629BB3908>, 'kernel_initializer': 'glorot_uniform'}","[[16.8568  ]
 [16.21626 ]
 [15.063882]
 ...
 [23.522165]
 [21.984827]
 [19.832909]]"
1,"{'bias_initializer': <tensorflow.python.ops.init_ops_v2.Zeros object at 0x0000027629BB3908>, 'kernel_initializer': 'he_normal'}","[[-33689.3]
 [-33689.3]
 [-33689.3]
 ...
 [-33689.3]
 [-33689.3]
 [-33689.3]]"
2,"{'bias_initializer': <tensorflow.python.ops.init_ops_v2.Zeros object at 0x0000027629BB3908>, 'kernel_initializer': 'he_uniform'}","[[61881.707]
 [61881.707]
 [61881.707]
 ...
 [61881.707]
 [61881.707]
 [61881.707]]"
3,"{'bias_initializer': <tensorflow.python.ops.init_ops_v2.Ones object at 0x0000027629A01488>, 'kernel_initializer': 'glorot_uniform'}","[[167502.02]
 [167502.02]
 [167502.02]
 ...
 [167502.02]
 [167502.02]
 [167502.02]]"
4,"{'bias_initializer': <tensorflow.python.ops.init_ops_v2.Ones object at 0x0000027629A01488>, 'kernel_initializer': 'he_normal'}","[[-213654.22]
 [-213654.22]
 [-213654.22]
 ...
 [-213654.22]
 [-213654.22]
 [-213654.22]]"
5,"{'bias_initializer': <tensorflow.python.ops.init_ops_v2.Ones object at 0x0000027629A01488>, 'kernel_initializer': 'he_uniform'}","[[275703.12]
 [275703.12]
 [275703.12]
 ...
 [275703.12]
 [275703.12]
 [275703.12]]"
