,rmse_general,mae_general,rmse_spike,mae_spike,rmse_normal,mae_normal
0.0001,32.60197590072724,20.337301820170087,29.907246937196476,19.861723522211882,32.98351299238215,20.407951038909637
0.001,33.070139881822,22.769642873920866,29.79210801450042,22.155887096840264,33.529776614610675,22.86081895645826
0.01,33.84657474013977,17.150002028198244,29.83001484319573,15.9183614641228,34.403270238069815,17.332967575603266
0.1,4404.038808579338,4403.913695477431,4400.57360302295,4400.473634778733,4404.553347318312,4404.424731413728
1.0,53658.56214761287,53658.55187907118,53655.1200172667,53655.11181837248,53659.07347216699,53659.062915007475
