,all_param,rmse_general,mae_general,rmse_spike,mae_spike,rmse_normal,mae_normal
0,"{'n_hidden': 1, 'units': 50}",29.54330415870772,19.45749179371769,37.39362054959065,24.758700092067066,28.132139965949012,18.63640238810869
1,"{'n_hidden': 1, 'units': 100}",25.698323247165483,15.344837475305548,35.71873746547597,21.723547908608428,23.77146285523019,14.356856761575928
2,"{'n_hidden': 1, 'units': 150}",29.647628947378415,18.000703045214962,41.31092489752963,25.310173313336694,27.40064956570743,16.86855953000212
3,"{'n_hidden': 1, 'units': 200}",28.73710091006604,18.459515572076786,35.09454181509445,22.44142731321344,27.621854071382238,17.842768339990958
4,"{'n_hidden': 2, 'units': 50}",25.69241893702624,15.195635239765792,37.86533305733502,22.972242437725157,23.243639442515025,13.991138185044266
5,"{'n_hidden': 2, 'units': 100}",25.61118572855961,15.191702404107403,32.46916001028188,20.514951936454676,24.377021184110884,14.367199093082185
6,"{'n_hidden': 2, 'units': 150}",29.81847976972671,17.502013077821086,35.77036286909597,23.050780995351822,28.786755792401554,16.642579851496777
7,"{'n_hidden': 2, 'units': 200}",27.78634600824649,17.150116515642157,35.54814216972269,22.34902593832247,26.38067686549422,16.344871898294677
