,rmse_general,mae_general,rmse_spike,mae_spike,rmse_normal,mae_normal,time
"{'batch_size': 48, 'steps': 48}",37.93610765790273,24.495980638616224,29.808338615217604,19.809879442361684,38.98172162977163,25.180467330203964,825.453125
"{'batch_size': 48, 'steps': 96}",31.552693063763424,20.43902648886045,24.990323441232697,16.30740257189112,32.45064403192316,21.07896222336848,1580.4585075378418
"{'batch_size': 48, 'steps': 336}",33.44977044392115,20.715459540396026,32.14052148773546,19.58781591487836,33.67486273680178,20.91386454354947,7064.752007484436
"{'batch_size': 96, 'steps': 48}",32.60483962638609,23.08632042010625,29.42105170521821,19.963627283781477,33.070565071518736,23.56998567280017,889.5519297122955
"{'batch_size': 96, 'steps': 96}",30.926347050027626,18.03526649872462,24.85182637539896,14.822517957965147,31.763480711751075,18.53288018248135,2053.1634447574615
"{'batch_size': 96, 'steps': 336}",33.251305202394356,23.18820326169332,33.56860843518014,20.9760063680013,33.19221247568452,23.59786935311777,8391.761725902557
"{'batch_size': 336, 'steps': 48}",36.46458401662866,29.37200555120196,33.59582019566173,27.25394736669397,36.90458960379229,29.712211788091846,458.2546012401581
"{'batch_size': 336, 'steps': 96}",39.77445212599135,31.487159421330404,34.95144939304773,28.111643735824096,40.49562498826993,32.02934069724074,809.4918274879456
"{'batch_size': 336, 'steps': 336}",30.630364239355888,22.402153110504152,21.520396817703187,18.33639563844915,32.17578228408798,23.232791733827217,4319.335324764252
