,y_pred,y_test,spike_upperlim,spike_lowerlim
0,98.69039,93.5,117.86034077157095,88.22007589509462
1,98.10422,100.0,117.94067593993151,88.76474072673406
2,97.982925,100.0,117.94067593993151,88.76474072673406
3,98.061035,97.0,117.8992570433044,88.68115962336118
4,98.52156,97.0,117.85753508576113,88.59788158090444
5,98.964806,100.0,117.85753508576113,88.59788158090444
6,99.71424,97.0,117.81551135676573,88.51490530989985
7,100.75751,100.0,116.02195752117264,88.68345914549292
8,101.33237,106.0,114.23794546984936,89.09247119681622
9,101.477554,93.5,113.39262395379083,88.79487604620803
10,102.7112,100.0,111.23759774230842,89.32490225769047
11,119.31115,139.99999999999997,110.12119882284165,90.02463451049059
12,117.531525,150.0,113.47002492050129,88.73830841283095
13,124.199875,139.99999999999997,115.50663209251026,88.34753457415532
14,105.700905,97.0,115.45092720594359,88.25740612738865
15,119.364334,139.99999999999997,117.34340369712942,88.01076296953615
16,104.410385,100.0,117.33474364590352,87.9985896874287
17,123.097435,225.0,128.2080883103117,82.31274502302054
18,121.06222,250.0,139.41253904118759,77.39996095881129
19,102.47581,106.0,139.66032405847403,78.02717594152487
20,120.3774,100.0,139.68836616333536,78.08246716999687
21,124.17193,100.0,139.71634465263006,78.13782201403555
22,130.28883,106.0,139.84423109811038,78.34326890188851
23,126.98086,110.0,140.0508696003178,78.63663039968108
24,127.482056,139.0,140.83897204942082,78.8485279505781
25,95.79704,100.0,140.86571919105836,78.90511414227387
26,95.24294,93.5,140.81547930073685,78.76785403259535
27,93.96862,93.5,140.81547930073685,78.76785403259535
28,94.8627,93.5,140.81547930073685,78.76785403259535
29,183.34749,260.0,150.9290158848309,75.32098411516797
30,93.29247,93.5,150.9290158848309,75.32098411516797
31,96.63988,93.5,150.9290158848309,75.32098411516797
32,96.60985,93.5,150.9290158848309,75.32098411516797
33,98.74903,93.5,150.9290158848309,75.32098411516797
34,174.4934,160.0,152.79539088483472,76.22544244849749
35,159.8668,160.0,154.60519202543617,77.18647464122942
36,157.82674,180.0,157.3445928418122,78.05124049152006
37,104.73287,97.99999999999999,157.3851909240478,78.19814240928444
38,152.12495,145.0,158.40239149402572,78.97260850597316
39,110.02046,106.0,157.4387782977151,78.31122170228382
40,108.46597,106.0,157.49216389482217,78.42450277184341
41,134.84656,145.0,158.50570178938182,79.20263154395045
42,111.76711,125.0,158.9157726662668,79.75089400039877
43,108.75052,100.0,158.8937880010555,79.68954533227674
44,119.44107,107.0,158.95805988218675,79.8336067844788
45,117.02289,107.0,159.02201110395808,79.97798889604081
46,118.371475,97.99999999999999,158.98055700165492,79.85277633167735
47,117.180664,100.0,159.0364243694453,80.06774229722026
48,117.328094,100.0,159.0916558721825,80.28334412781635
49,106.52673,97.0,159.06341145218198,80.18658854781691
50,103.20536,97.0,159.03503623749725,80.08996376250164
51,103.10976,97.0,159.03503623749725,80.08996376250164
52,112.45224,100.0,159.06341145218198,80.18658854781691
53,104.91366,97.0,159.03503623749725,80.08996376250164
54,104.56469,97.0,159.03503623749725,80.08996376250164
55,115.39691,100.0,159.03503623749725,80.08996376250164
56,115.766106,100.0,158.96336346910059,79.91163653089829
57,106.754654,103.0,159.05227497590903,80.2185583574232
58,121.94649,103.0,159.08534575304805,80.31048758028422
59,107.89033,106.0,158.30980302267,79.66936364399557
60,106.58124,106.0,157.16704605988178,78.97878727345045
61,105.99452,103.0,156.31936531758973,78.28480134907585
62,105.746796,106.0,156.42877345692904,78.55039320973654
63,105.101776,114.0,155.74790015855612,78.1479331747761
64,104.60795,103.0,155.7849270457947,78.23590628753755
65,104.698555,106.0,149.90981158297168,79.15268841702719
66,104.87919,114.0,140.90385084640727,82.49198248692497
67,104.6329,106.0,140.90385084640727,82.49198248692497
68,136.96608,106.0,140.99053379909074,82.65529953424145
69,132.55438,100.0,140.99053379909074,82.65529953424145
70,160.83324,97.99999999999999,140.8806489163261,82.43185108367283
71,104.33746,97.0,140.68563080851465,82.08520252481756
72,103.21787,100.0,139.630817336043,81.51501599728924
73,103.593285,97.0,139.59475653116928,81.42607680216297
74,102.91871,97.99999999999999,139.63972050199254,81.56861283133968
75,103.58636,97.0,139.6731376473159,81.68102901934967
76,105.81716,110.0,139.90651379027042,82.13515287639515
77,187.06728,200.0,132.77105496345578,86.77061170320974
78,105.60733,97.0,132.7967909263185,86.89070907368044
