,rmse_cv,mae_cv,rmse_general,mae_general,rmse_spike,mae_spike,rmse_normal,mae_normal
lr = 0.001,54.47335288380548,28.298015907832553,35.83194690765529,28.778040854338037,64.72401415879689,52.02433388002138,29.39432213567916,25.41822506546974
exp schedueling,56.681971950646414,30.662314925874977,33.29419846771548,25.621725080103957,71.838469044907,58.977570382591445,22.865370363532005,20.80076306372881
