,rmse_cv,mae_cv,rmse_general,mae_general,rmse_spike,mae_spike,rmse_normal,mae_normal
1e-05,83.67921204555199,56.67497513975416,30.44697722994673,23.158005734596646,63.07843155432472,52.72336098275533,20.74810836220628,18.34776936485654
0.0001,59.65860183374561,33.2581357887813,30.002767962507146,23.174921185490213,61.73628814538643,51.010877692990185,20.652310950377412,18.64605524577792
0.001,54.213840080567884,28.327891050066263,31.641371774245098,24.78113549398481,60.49542913137001,49.358766918647575,23.84615977661723,20.78239387330555
0.01,50.77836537351246,25.764503458568026,31.853013534731712,25.08637356025774,61.24623743893648,50.62995960886885,23.861943738013608,20.930472655523392
0.1,52.44500661440398,26.69778141975403,31.53551380352174,25.84346316861618,60.55346893514761,50.57895645513767,23.658410887039132,21.819037673586894
1.0,473161.22252294066,21473.738521364754,2265.421614348963,2250.734681425648,2294.9702198212863,2281.509458365091,2260.577571308875,2245.7276740664533
