,optimizers,rmse_general,mae_general,rmse_spike,mae_spike,rmse_normal,mae_normal
0,<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x000001A398C2A448>,31.29042368750239,19.966094614028954,40.99364536455853,27.903567837015824,29.14110299649518,18.49619216532768
1,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x000001A398C2A608>,27.313441186699926,18.556694277842855,41.43015271508091,29.61190930836999,23.797356258956253,16.509432235152648
2,<tensorflow.python.keras.optimizer_v2.nadam.Nadam object at 0x000001A398C2A5C8>,27.37319731336211,17.905162923256572,42.76941004956565,29.231321819559767,23.437252412172338,15.807726090607833
3,<tensorflow.python.keras.optimizer_v2.adamax.Adamax object at 0x000001A398C2A648>,28.187727666790234,19.19700649253529,42.48948377641018,30.341730958557164,24.64470084624091,17.133168628457167
