,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Features,Ren_R,APXP,Rene,TSDF,Im_Pr,In_gen,LOLP,PrevDay,PrevWeek,DA_margin,DA_price_france,dino_bin,ratio_offers_vol,DA_imb_France
Coefficients,30.602455788494527,178.2261353700576,-15.386256403386469,-13.525547816074104,1.8562640719594348,-35.077164394400604,61.522988185967606,206.50805172726768,-1.0747792858002965,3.1206249961597323,28.23707525928683,6.507661567685184,19.167909159725962,14.71777809395201
