,rmse_cv,mae_cv,rmse_general,mae_general,rmse_spike,mae_spike,rmse_normal,mae_normal
Rolling Nested CV,46.28195093403656,28.647172089985443,47.393376830018816,23.880135054914746,98.32826845315321,62.839169241709065,21.23786295490752,14.457902247513218
3 months train set,54.40297032148935,28.207440066337586,35.35718473583431,27.320695497217798,66.65415280500164,53.60352596425649,28.0836866680435,23.52200515627861
