,rmse_cv,mae_cv,rmse_general,mae_general,rmse_spike,mae_spike,rmse_normal,mae_normal
24 months,51.88796179400805,30.582959399904524,46.122624307264545,26.23835677657883,92.8090370577593,57.78713291405356,23.63483760335076,18.60829304028312
21 months,50.57723400762675,29.101205454553877,47.07761745218664,25.741037702612658,99.02790209397168,62.630364492928045,22.99186288796147,17.53874377389901
18 months,37.89916592171565,25.89537285736629,46.491792945106646,25.87880964030665,100.04946350851695,61.20861905773964,23.016098921190718,18.533463580675242
15 months,42.1896694966514,27.706515039716447,42.38954503956045,25.556959127049506,89.28243281865396,58.358823383313585,22.815540815680997,18.77649632207724
12 months,56.14426630373956,32.311274130003795,46.49569392197177,28.36850353007701,92.85918205712596,57.01842200664495,29.316636864592823,22.593339949610115
9 months,62.80918497215697,34.26990589414324,49.559734529489255,27.12120409848996,103.25471064452664,61.29540939111799,30.155637489065025,20.678979273908794
6 months,37.83109696366227,24.68375315325601,39.859827056117915,26.693476844074333,84.24537171778151,61.30438665732936,23.696669158095965,20.238901861579315
3 months,55.212013103954206,28.90437606402806,33.800412295002054,26.30585342151837,69.82842527880904,56.98543422635464,24.553095698760586,21.871695258319377
